Index,Date,Open,High,Low,Close,Adj Close,Volume
HSI,2020-01-02,28249.36914,28543.51953,28245.9707,28543.51953,28543.51953,1262732800
HSI,2020-01-06,28326.5,28367.86914,28054.28906,28226.18945,28226.18945,1793426600
HSI,2020-01-07,28352.67969,28473.08008,28264.07031,28322.06055,28322.06055,1302687200
HSI,2020-01-08,27999.58008,28198.60938,27857.73047,28087.91992,28087.91992,1709241600
HSI,2020-01-09,28367.65039,28561,28325.85938,28561,28561,1692786200
HSI,2020-01-21,28449.38086,28492.0293,27980.5,27985.33008,27985.33008,2236521700
HSI,2020-01-22,28116.5,28393.92969,27937.67969,28341.03906,28341.03906,1343288100
HSI,2020-01-23,28109.75,28133.0293,27706.36914,27909.11914,27909.11914,1753263000
HSI,2020-01-24,27935.41992,27977.63086,27774.5,27949.64063,27949.64063,612128700
HSI,2020-01-29,27101.53906,27333.30078,27101.53906,27160.63086,27160.63086,2203836100
HSI,2020-01-30,27030.60938,27134.55078,26330.05078,26449.13086,26449.13086,2223567800
HSI,2020-02-05,26869.32031,26926.11914,26641.91992,26786.74023,26786.74023,2498930800
HSI,2020-02-06,27174.5293,27608.2207,27029.49023,27493.69922,27493.69922,2249533900
HSI,2020-02-07,27356.2793,27410.58008,27224.11914,27404.26953,27404.26953,1464514700
HSI,2020-02-10,27092.15039,27314.64063,27044.88086,27241.33984,27241.33984,1612017900
HSI,2020-02-11,27514.25,27674.81055,27436.99023,27583.88086,27583.88086,1868625400
HSI,2020-02-12,27717.2207,27892.48047,27614.83008,27823.66016,27823.66016,1796561200
HSI,2020-02-13,27953.65039,27953.65039,27695.59961,27730,27730,1617010200
HSI,2020-02-14,27698.56055,27960.66016,27695.58984,27815.59961,27815.59961,1445335900
HSI,2020-02-17,27766.71094,28055.58008,27766.71094,27959.59961,27959.59961,1412999200
HSI,2020-02-18,27766.5,27771.30078,27496.25,27530.19922,27530.19922,1592221400
HSI,2020-02-19,27486.46094,27697.46094,27448.59961,27655.81055,27655.81055,1471538100
HSI,2020-02-20,27767.2793,27767.2793,27383.13086,27609.16016,27609.16016,1582073100
HSI,2020-02-21,27450.46094,27484.5293,27264.7793,27308.81055,27308.81055,1773613400
HSI,2020-02-24,27105.34961,27105.34961,26813.2207,26820.88086,26820.88086,2044657000
HSI,2020-03-09,25134.01953,25321.2793,24948.38086,25040.46094,25040.46094,4677892400
HSI,2020-03-12,24657.66992,24657.66992,24117.93945,24309.07031,24309.07031,3748928400
HSI,2020-03-13,22519.32031,24184.48047,22519.32031,24032.91016,24032.91016,5495155700
HSI,2020-03-16,23317.81055,23631.5293,22842.25,23063.57031,23063.57031,4067029300
HSI,2020-03-17,23001.75977,23401.19922,22676.46094,23263.73047,23263.73047,3637973700
HSI,2020-03-18,23023.33984,23425.0293,22167.41992,22291.82031,22291.82031,4217153600
HSI,2020-03-19,22221.38086,22380.33984,21139.25977,21709.13086,21709.13086,5628397600
HSI,2020-03-20,22147.33984,22805.07031,22147.33984,22805.07031,22805.07031,4528187900
HSI,2020-03-23,21696.13086,21696.13086,21696.13086,21696.13086,21696.13086,0
HSI,2020-03-24,22497.57031,22753.00977,22383.25,22663.49023,22663.49023,3614066700
HSI,2020-03-25,23255.91016,23569.44922,23062.23047,23527.18945,23527.18945,3605374900
HSI,2020-03-26,23604.83008,23604.83008,23163.66992,23352.33984,23352.33984,2519508100
HSI,2020-03-27,23768.41016,23791.19922,23354.00977,23484.2793,23484.2793,2199674300
HSI,2020-03-30,23020.84961,23491.50977,22973.33008,23175.10938,23175.10938,2553435900
HSI,2020-03-31,23613.26953,23627.5293,23238.03906,23603.48047,23603.48047,2876326600
HSI,2020-04-01,23365.90039,23540.00977,22947.64063,23085.78906,23085.78906,2879977600
